[16-5-2014 09:39:48] Loaded CFG file c:\TimetrackerMonitor\config.txt
[16-5-2014 12:43:41] Monitored ON time: 83
[16-5-2014 12:44:41] Tracker is counting time.
[16-5-2014 12:44:41] Monitored ON time: 84
[16-5-2014 12:45:41] Tracker is counting time.
[16-5-2014 12:45:41] Monitored ON time: 85
[16-5-2014 12:46:42] Tracker is counting time.
[16-5-2014 12:46:42] Monitored ON time: 86
[16-5-2014 12:47:42] Tracker is counting time.
[16-5-2014 12:47:42] Monitored ON time: 87
[16-5-2014 12:48:43] Tracker is counting time.
[16-5-2014 12:48:43] Monitored ON time: 88
[16-5-2014 12:49:43] Tracker is NOT counting time.
[16-5-2014 12:49:46] monitored OFF time: 0
[16-5-2014 12:50:47] Tracker is counting time.
[16-5-2014 12:50:47] Monitored ON time: 0
[16-5-2014 12:51:47] Tracker is counting time.
[16-5-2014 12:51:47] Monitored ON time: 1
[16-5-2014 12:52:48] Tracker is counting time.
[16-5-2014 12:52:48] Monitored ON time: 2
[16-5-2014 12:53:48] Tracker is counting time.
[16-5-2014 12:53:48] Monitored ON time: 3
[16-5-2014 12:54:49] Tracker is counting time.
[16-5-2014 12:54:49] Monitored ON time: 4
[16-5-2014 12:55:49] Tracker is counting time.
[16-5-2014 12:55:49] Monitored ON time: 5
[16-5-2014 12:56:49] Tracker is counting time.
[16-5-2014 12:56:49] Monitored ON time: 6
[16-5-2014 12:57:50] Tracker is counting time.
[16-5-2014 12:57:50] Monitored ON time: 7
[16-5-2014 12:58:50] Tracker is counting time.
[16-5-2014 12:58:50] Monitored ON time: 8
[16-5-2014 12:59:51] Tracker is counting time.
[16-5-2014 12:59:51] Monitored ON time: 9
[16-5-2014 01:00:51] Tracker is counting time.
[16-5-2014 01:00:51] Monitored ON time: 10
[16-5-2014 01:01:51] Tracker is counting time.
[16-5-2014 01:01:52] Monitored ON time: 11
[16-5-2014 01:02:52] Tracker is counting time.
[16-5-2014 01:02:52] Monitored ON time: 12
[16-5-2014 01:03:52] Tracker is counting time.
[16-5-2014 01:03:52] Monitored ON time: 13
[16-5-2014 01:04:56] monitored OFF time: 0
[16-5-2014 01:06:00] monitored OFF time: 1
[16-5-2014 01:07:04] monitored OFF time: 2
[16-5-2014 01:08:07] monitored OFF time: 3
[16-5-2014 01:09:11] monitored OFF time: 4
[16-5-2014 01:10:15] monitored OFF time: 5
[16-5-2014 01:11:19] monitored OFF time: 6
[16-5-2014 01:12:22] monitored OFF time: 7
[16-5-2014 01:13:26] monitored OFF time: 8
[16-5-2014 01:14:30] monitored OFF time: 9
[16-5-2014 01:15:34] monitored OFF time: 10
[16-5-2014 01:16:37] monitored OFF time: 11
[16-5-2014 01:17:41] monitored OFF time: 12
[16-5-2014 01:18:45] monitored OFF time: 13
[16-5-2014 01:19:49] monitored OFF time: 14
[16-5-2014 01:20:52] monitored OFF time: 15
[16-5-2014 01:21:56] monitored OFF time: 16
[16-5-2014 01:23:00] monitored OFF time: 17
[16-5-2014 01:24:04] monitored OFF time: 18
[16-5-2014 01:25:07] monitored OFF time: 19
[16-5-2014 01:26:11] monitored OFF time: 20
[16-5-2014 01:27:15] monitored OFF time: 21
[16-5-2014 01:28:19] monitored OFF time: 22
[16-5-2014 01:29:22] monitored OFF time: 23
[16-5-2014 01:30:26] monitored OFF time: 24
[16-5-2014 01:31:26] Tracker is counting time.
[16-5-2014 01:31:27] Monitored ON time: 0
[16-5-2014 01:32:27] Tracker is counting time.
[16-5-2014 01:32:27] Monitored ON time: 1
[16-5-2014 01:33:27] Tracker is counting time.
[16-5-2014 01:33:27] Monitored ON time: 2
[16-5-2014 01:34:28] Tracker is counting time.
[16-5-2014 01:34:28] Monitored ON time: 3
[16-5-2014 01:35:28] Tracker is counting time.
[16-5-2014 01:35:28] Monitored ON time: 4
[16-5-2014 01:36:29] Tracker is counting time.
[16-5-2014 01:36:29] Monitored ON time: 5
[16-5-2014 01:37:29] Tracker is counting time.
[16-5-2014 01:37:29] Monitored ON time: 6
[16-5-2014 01:38:29] Tracker is counting time.
[16-5-2014 01:38:29] Monitored ON time: 7
[16-5-2014 01:39:30] Tracker is counting time.
[16-5-2014 01:39:30] Monitored ON time: 8
[16-5-2014 01:40:30] Tracker is counting time.
[16-5-2014 01:40:30] Monitored ON time: 9
[16-5-2014 01:41:31] Tracker is counting time.
[16-5-2014 01:41:31] Monitored ON time: 10
[16-5-2014 01:42:31] Tracker is counting time.
[16-5-2014 01:42:31] Monitored ON time: 11
[16-5-2014 01:43:32] Tracker is counting time.
[16-5-2014 01:43:32] Monitored ON time: 12
[16-5-2014 01:44:32] Tracker is counting time.
[16-5-2014 01:44:32] Monitored ON time: 13
[16-5-2014 01:45:32] Tracker is counting time.
[16-5-2014 01:45:32] Monitored ON time: 14
[16-5-2014 01:46:33] Tracker is counting time.
[16-5-2014 01:46:33] Monitored ON time: 15
[16-5-2014 01:47:33] Tracker is counting time.
[16-5-2014 01:47:33] Monitored ON time: 16
[16-5-2014 01:48:33] Tracker is counting time.
[16-5-2014 01:48:34] Monitored ON time: 17
[16-5-2014 01:49:34] Tracker is counting time.
[16-5-2014 01:49:34] Monitored ON time: 18
[16-5-2014 01:50:34] Tracker is counting time.
[16-5-2014 01:50:34] Monitored ON time: 19
[16-5-2014 01:51:35] Tracker is counting time.
[16-5-2014 01:51:35] Monitored ON time: 20
[16-5-2014 01:52:35] Tracker is counting time.
[16-5-2014 01:52:35] Monitored ON time: 21
[16-5-2014 01:53:35] Tracker is counting time.
[16-5-2014 01:53:36] Monitored ON time: 22
[16-5-2014 01:54:36] Tracker is counting time.
[16-5-2014 01:54:36] Monitored ON time: 23
[16-5-2014 01:55:36] Tracker is counting time.
[16-5-2014 01:55:36] Monitored ON time: 24
[16-5-2014 01:56:37] Tracker is counting time.
[16-5-2014 01:56:37] Monitored ON time: 25
[16-5-2014 01:57:37] Tracker is counting time.
[16-5-2014 01:57:37] Monitored ON time: 26
